CaseID,Title,DateOpened,Status,AssignedDetectiveID,CrimeType,Location
C1095,Sing nation,2025-03-18,Open,D1093,Homicide,"East Eric, IN"
C1096,Career manage tonight,2022-06-11,Open,D1059,Fraud,"Jennifermouth, DE"
C1097,Tonight garden,2024-01-21,Closed,D1156,Homicide,"Amandaberg, MS"
C1098,Doctor trip,2024-09-04,Closed,D1197,Cyber Crime,"Reedfort, ME"
C1099,Spend raise child,2024-01-23,Closed,D1117,Homicide,"New Caitlinhaven, UT"
C1100,Other owner,2025-01-25,Closed,D1148,Narcotics,"West Haleyburgh, CO"
C1101,Business,2022-06-20,Closed,D1065,Narcotics,"Lisafort, CT"
C1102,Hard recent project,2025-03-11,Open,D1086,Cyber Crime,"East Anna, CA"
C1103,Ago poor,2024-06-23,Open,D1011,Homicide,"New Robert, IL"
C1104,Enough onto try,2024-03-06,Open,D1089,Homicide,"South Annette, MS"
C1105,If do them although,2022-09-07,Closed,D1167,Homicide,"West Marissafort, SD"
C1106,Enter discover hair,2023-12-29,Open,D1016,Narcotics,"Melissaberg, CA"
C1107,Hotel well news,2022-08-10,Open,D1155,Narcotics,"Timothyville, FL"
C1108,Catch ten,2023-11-05,Open,D1116,Robbery,"New Angelica, AZ"
C1109,Record own research,2024-01-14,Closed,D1155,Homicide,"South Anitamouth, CT"
C1110,Effort,2025-03-26,Open,D1081,Cyber Crime,"South Mary, KY"
C1111,Mission,2023-04-09,Closed,D1083,Cyber Crime,"Staceyhaven, CO"
C1112,Off difficult,2022-08-24,Open,D1133,Homicide,"Tamaraberg, LA"
C1113,Process sit executive,2023-03-01,Open,D1094,Homicide,"Port Kimberly, MI"
C1114,Director remember place,2024-06-11,Open,D1134,Cyber Crime,"Ryanstad, WI"
C1115,Look fact,2023-07-09,Open,D1051,Cyber Crime,"Moorebury, HI"
C1116,Director race wish,2023-10-03,Closed,D1079,Fraud,"Palmershire, RI"
C1117,Maybe main fire,2023-04-03,Closed,D1065,Narcotics,"North Thomasfurt, IN"
C1118,Parent,2024-02-25,Closed,D1182,Robbery,"South Claytonborough, MD"
C1119,Congress recognize,2023-01-28,Open,D1078,Fraud,"East Stephanietown, ND"
C1120,Bring painting,2022-05-03,Open,D1002,Narcotics,"North Joyce, AL"
C1121,Suffer at computer doctor,2024-07-12,Closed,D1185,Narcotics,"Reyestown, IL"
C1122,Power,2023-12-09,Open,D1105,Narcotics,"Anthonystad, MN"
C1123,Political other begin,2023-10-02,Closed,D1112,Homicide,"Lake Daletown, FL"
C1124,Her of,2024-12-15,Open,D1020,Robbery,"Jameshaven, DE"
C1125,Really listen,2024-09-11,Open,D1195,Robbery,"Harrisonmouth, MA"
C1126,Effort bad measure,2022-11-12,Closed,D1054,Narcotics,"South John, WI"
C1127,Likely,2024-01-23,Open,D1109,Fraud,"New Richardmouth, NE"
C1128,Local cell,2023-05-05,Closed,D1010,Robbery,"Campbellfort, FL"
C1129,Could usually,2024-07-15,Open,D1125,Robbery,"North Ericton, RI"
C1130,Hope could many,2022-12-31,Open,D1071,Cyber Crime,"South Brandon, WI"
C1131,Could foreign mind,2023-10-04,Closed,D1111,Homicide,"Hernandezfort, TN"
C1132,Our allow,2024-09-28,Closed,D1156,Fraud,"Steinmouth, VA"
C1133,Animal,2023-02-25,Open,D1182,Cyber Crime,"East Johnbury, TX"
C1134,International position write,2022-10-12,Closed,D1131,Fraud,"Trevorborough, MN"
C1135,Response hospital wrong,2024-09-07,Closed,D1137,Cyber Crime,"Meghanmouth, FL"
C1136,Seem west,2023-04-02,Closed,D1059,Homicide,"Sampsonside, MN"
C1137,Against,2025-04-23,Open,D1157,Homicide,"Clarkchester, OK"
C1138,Decision above you,2024-01-25,Open,D1187,Narcotics,"New Dawn, ME"
C1139,Mr bad wide,2023-12-07,Open,D1055,Cyber Crime,"Goodwinborough, RI"
C1140,Base age,2023-11-06,Open,D1189,Fraud,"New Tammy, OR"
C1141,Check election order,2024-06-30,Closed,D1012,Homicide,"Nataliebury, MS"
C1142,Direction opportunity very,2024-06-21,Closed,D1165,Cyber Crime,"East Leslieshire, NM"
C1143,Look floor role,2022-08-02,Open,D1188,Fraud,"North Ryanberg, FL"
C1144,Relationship easy,2022-06-13,Closed,D1058,Fraud,"Josephville, LA"
C1145,Sort couple station my,2023-11-27,Closed,D1056,Robbery,"Zacharytown, NM"
C1146,Former general,2022-05-30,Open,D1132,Cyber Crime,"New Annaland, OK"
C1147,Avoid yourself campaign,2022-10-04,Closed,D1059,Cyber Crime,"New Marybury, CT"
C1148,Yet really,2024-09-08,Closed,D1073,Fraud,"South James, WA"
C1149,Citizen result thus,2024-03-07,Open,D1035,Homicide,"East Steven, DC"
C1150,Professor show bar,2023-06-30,Closed,D1093,Fraud,"Kylemouth, CO"
C1151,Final,2024-12-01,Open,D1033,Narcotics,"East Jenniferborough, OH"
C1152,Become me story,2023-10-16,Open,D1045,Fraud,"North Brittneymouth, HI"
C1153,Pick purpose,2023-07-30,Open,D1034,Robbery,"Anthonytown, KY"
C1154,First natural without,2022-08-22,Closed,D1145,Robbery,"Port Jeanettehaven, KS"
C1155,Skill industry,2024-11-08,Open,D1187,Robbery,"West Stephanie, ND"
C1156,Remain interest college,2024-05-25,Open,D1194,Narcotics,"East Jasminfort, AK"
C1157,Final station,2023-05-01,Closed,D1155,Fraud,"South Alexis, MN"
C1158,Buy east example,2024-07-20,Open,D1161,Narcotics,"Reynoldston, VT"
C1159,Dark character sometimes,2024-07-18,Open,D1157,Homicide,"East Andrea, ND"
C1160,Discussion star,2022-06-07,Closed,D1125,Narcotics,"Schaeferburgh, WV"
C1161,Thing ok,2024-09-11,Closed,D1003,Robbery,"Lake John, ME"
C1162,So suggest artist,2022-05-28,Open,D1169,Narcotics,"South William, MS"
C1163,Manage camera beat,2024-08-01,Closed,D1139,Cyber Crime,"Port Patriciatown, IA"
C1164,Purpose world win,2023-12-31,Open,D1066,Robbery,"Scottland, WV"
C1165,Drug decide animal take,2022-12-27,Closed,D1180,Robbery,"Lake Seanmouth, WI"
C1166,Outside they,2025-02-16,Closed,D1074,Narcotics,"Alexanderberg, TN"
C1167,Stop father politics,2023-11-03,Open,D1053,Homicide,"Dennisfort, VA"
C1168,However list key little,2023-03-02,Closed,D1185,Robbery,"Sharonmouth, SC"
C1169,How husband time,2024-11-17,Closed,D1112,Robbery,"Emilyshire, IA"
C1170,Describe method meeting,2023-02-13,Closed,D1088,Robbery,"Starkview, ME"
C1171,Appear role why,2024-04-03,Closed,D1004,Cyber Crime,"Vazqueztown, PA"
C1172,Without wall,2022-10-03,Open,D1187,Robbery,"East Christine, TN"
C1173,Speech across yard admit,2023-11-06,Closed,D1005,Narcotics,"Port Molly, IA"
C1174,Scene teach because,2023-12-27,Open,D1006,Robbery,"Caseytown, HI"
C1175,Mother good decade TV,2022-05-18,Open,D1003,Robbery,"West Jack, NM"
C1176,Particularly measure,2025-02-11,Closed,D1017,Homicide,"North Brian, PA"
C1177,Maybe information,2022-06-13,Closed,D1169,Narcotics,"Cynthiaborough, AR"
C1178,Firm woman,2023-10-04,Open,D1055,Narcotics,"Toddfort, MA"
C1179,Learn senior,2023-06-18,Closed,D1036,Cyber Crime,"New Jonathonfurt, NV"
C1180,Parent information,2024-02-09,Closed,D1045,Cyber Crime,"Lake Diane, WY"
C1181,Significant stuff section lot,2022-10-17,Closed,D1097,Homicide,"Lake Kathyview, WY"
C1182,Meeting movie avoid,2022-10-14,Closed,D1067,Fraud,"New Alexisberg, DE"
C1183,Six loss agree,2024-01-19,Closed,D1194,Homicide,"North Jacqueline, OR"
C1184,Determine,2023-04-10,Open,D1104,Narcotics,"Melendeztown, PA"
C1185,Night reflect,2024-01-06,Open,D1000,Fraud,"Sullivanside, WA"
C1186,Certainly walk camera,2024-03-18,Open,D1159,Fraud,"New Stephanie, CO"
C1187,Explain education idea,2024-10-07,Open,D1020,Cyber Crime,"Port Danaton, WI"
C1188,Purpose,2022-08-12,Open,D1045,Robbery,"Ericberg, WV"
C1189,Voice boy,2024-06-22,Open,D1043,Fraud,"Adammouth, FL"
C1190,Seem beat debate late,2023-09-21,Open,D1183,Homicide,"Ruizhaven, CO"
C1191,Himself idea lose,2023-08-29,Closed,D1153,Homicide,"Stonebury, SD"
C1192,Finish these century,2024-01-06,Closed,D1181,Robbery,"South Deannaville, CA"
C1193,North good,2024-07-18,Open,D1064,Cyber Crime,"Moralesmouth, TN"
C1194,Mention discussion maybe,2024-12-17,Closed,D1006,Homicide,"Harringtonstad, WY"
C1195,Enjoy,2024-06-29,Closed,D1022,Cyber Crime,"South Danielchester, RI"
C1196,Agency meet window,2023-05-09,Closed,D1171,Robbery,"Bernardstad, MA"
C1197,Low trial water,2023-06-18,Closed,D1060,Fraud,"Port Deborahbury, SD"
C1198,Raise suggest six,2024-05-06,Closed,D1041,Narcotics,"North Kathleen, NC"
C1199,Strategy receive,2025-02-11,Closed,D1069,Narcotics,"Lewistown, NH"
C1200,Stay provide particularly firm,2024-12-18,Closed,D1003,Cyber Crime,"Tiffanyshire, SC"
C1201,Involve down herself,2022-12-05,Closed,D1140,Narcotics,"East Jonathan, ND"
C1202,Walk draw front,2024-10-24,Open,D1197,Fraud,"West John, WV"
C1203,Common relate others,2023-05-29,Closed,D1175,Homicide,"Castilloburgh, MI"
C1204,Report become,2024-11-21,Closed,D1101,Homicide,"Conwayport, KY"
C1205,Government image,2024-06-28,Closed,D1088,Narcotics,"North Jamesborough, GA"
C1206,Ball may read,2024-09-07,Open,D1005,Cyber Crime,"Cervantesfurt, DE"
C1207,Work several past,2022-07-26,Open,D1065,Fraud,"Parkerchester, NJ"
C1208,Watch bed,2023-11-29,Closed,D1175,Robbery,"Port Courtneyhaven, TN"
C1209,Former run others,2024-10-16,Closed,D1098,Cyber Crime,"New Jimmyton, CT"
C1210,Staff that,2023-08-23,Open,D1029,Fraud,"Port Patricia, NC"
C1211,Far training,2023-02-27,Closed,D1062,Fraud,"East David, KS"
C1212,Certainly pattern,2024-06-04,Closed,D1041,Robbery,"North Derek, TN"
C1213,Current open,2024-01-18,Closed,D1191,Homicide,"Amandafort, DC"
C1214,Together record,2023-06-20,Open,D1144,Robbery,"Latoyabury, FL"
C1215,Push industry certainly,2023-03-13,Closed,D1092,Cyber Crime,"New Lucasbury, HI"
C1216,Professional kind wait,2024-04-04,Closed,D1082,Narcotics,"Emmaborough, MI"
C1217,Good open,2024-05-26,Closed,D1153,Narcotics,"Jefferyside, CA"
C1218,Box operation prepare,2023-01-23,Open,D1000,Robbery,"Lake Monica, NH"
C1219,Energy safe crime,2022-12-05,Open,D1113,Robbery,"Lake Casey, MD"
C1220,Anything strategy hope,2023-12-01,Closed,D1002,Narcotics,"Dunnside, FL"
C1221,Focus,2025-02-08,Closed,D1191,Fraud,"Blackshire, IL"
C1222,Hot because,2024-04-23,Open,D1017,Fraud,"Martinezmouth, SD"
C1223,Defense,2023-01-11,Closed,D1071,Robbery,"East Cody, MT"
C1224,Defense cup man,2022-08-12,Open,D1016,Robbery,"Port Cory, PA"
C1225,Officer police it,2023-02-23,Open,D1129,Fraud,"Hancockview, NJ"
C1226,Owner ahead generation shoulder,2025-01-14,Closed,D1193,Narcotics,"Lake Deanna, NV"
C1227,Radio stay century,2023-03-26,Closed,D1079,Cyber Crime,"Ruizview, SD"
C1228,Forget result professor,2023-07-20,Open,D1109,Cyber Crime,"Natalieland, DE"
C1229,Partner pressure discover,2024-06-05,Closed,D1137,Fraud,"South Sandra, AK"
C1230,Century suddenly,2024-05-18,Closed,D1087,Robbery,"Jocelynberg, NY"
C1231,Raise away tough,2023-09-07,Closed,D1036,Homicide,"East Virginia, UT"
C1232,House central baby,2024-02-13,Open,D1169,Fraud,"New Jacob, NM"
C1233,One then,2023-10-21,Closed,D1092,Narcotics,"Bakerborough, GA"
C1234,Trouble movie view,2022-11-28,Open,D1143,Narcotics,"West Karenshire, TX"
C1235,Big early,2023-11-16,Open,D1004,Cyber Crime,"North Michelleshire, NH"
C1236,Either none heavy down,2023-06-03,Open,D1174,Robbery,"Lake Lynnhaven, NM"
C1237,During difficult religious push,2025-01-30,Closed,D1160,Narcotics,"Port Dana, WV"
C1238,Concern black believe performance,2024-10-31,Open,D1187,Robbery,"Bethton, CA"
C1239,Around four PM,2022-12-01,Open,D1070,Robbery,"Whiteheadport, IA"
C1240,Or century,2023-03-21,Closed,D1019,Fraud,"South Luis, AL"
C1241,Official natural can,2023-05-20,Closed,D1060,Narcotics,"Jenniferside, ID"
C1242,Knowledge player,2023-08-02,Open,D1048,Robbery,"Port Deborah, WI"
C1243,Happy last,2023-08-14,Closed,D1016,Narcotics,"Churchmouth, SC"
C1244,Perform interest particularly,2023-07-13,Closed,D1069,Cyber Crime,"East Mary, CT"
C1245,Cup they,2023-12-14,Closed,D1193,Cyber Crime,"Zacharyberg, NM"
C1246,Really debate,2023-06-16,Closed,D1023,Cyber Crime,"Jeanetteville, AK"
C1247,Follow result,2024-03-03,Open,D1126,Homicide,"West Robert, SD"
C1248,Group return,2022-11-04,Closed,D1051,Narcotics,"Alexanderstad, NE"
C1249,Once worry newspaper,2024-01-23,Closed,D1111,Narcotics,"Andersontown, NC"
C1250,Pressure down PM,2025-04-18,Open,D1149,Narcotics,"South Brianport, GA"
C1251,Money newspaper,2023-08-07,Closed,D1145,Robbery,"Aaronberg, CO"
C1252,Laugh cup hear,2023-10-05,Closed,D1083,Homicide,"Greenburgh, MO"
C1253,Above form,2022-05-19,Closed,D1121,Fraud,"West Amy, WI"
C1254,Bill pattern,2023-08-06,Open,D1010,Homicide,"East Samanthaville, GA"
C1255,Close election,2024-03-16,Closed,D1092,Homicide,"South Janet, AK"
C1256,Administration but finally,2024-09-13,Open,D1048,Homicide,"Clarkfurt, NH"
C1257,Measure student cost policy,2025-01-22,Closed,D1011,Cyber Crime,"New Robertbury, MI"
C1258,List table scene,2024-07-01,Open,D1080,Narcotics,"Melvinburgh, IN"
C1259,Poor head perform,2024-04-13,Open,D1195,Cyber Crime,"Emmatown, NH"
C1260,Cup home,2024-07-08,Closed,D1171,Robbery,"Andreaton, MT"
C1261,Happy culture daughter,2024-04-20,Open,D1103,Cyber Crime,"Braunland, NC"
C1262,If everything bad,2025-04-07,Open,D1041,Robbery,"New Thomasmouth, AL"
C1263,Far share thought soon,2023-02-27,Open,D1123,Homicide,"Padillaport, AZ"
C1264,Her include sit,2022-09-06,Open,D1142,Narcotics,"West Todd, OH"
C1265,Itself eye magazine human,2022-04-27,Open,D1088,Fraud,"Hardinfurt, WI"
C1266,Few natural fight stand,2024-10-22,Open,D1020,Fraud,"West Benjamin, NV"
C1267,Race wrong,2023-08-21,Open,D1067,Robbery,"South Andrew, FL"
C1268,Theory simply concern,2023-02-04,Closed,D1083,Cyber Crime,"East Deborahburgh, SD"
C1269,Push conference however,2024-07-12,Closed,D1132,Narcotics,"Susanton, NJ"
C1270,Produce list,2022-12-27,Open,D1193,Narcotics,"Jessicaport, MO"
C1271,Star forward leave art,2022-06-15,Open,D1009,Fraud,"Jeffreymouth, ME"
C1272,Help attention,2024-08-24,Open,D1164,Fraud,"North Lauraland, AL"
C1273,Around almost,2023-07-27,Open,D1193,Cyber Crime,"East Nancyburgh, SD"
C1274,Cause way night somebody,2022-08-30,Open,D1049,Narcotics,"Lake Cameronville, CT"
C1275,Bag list teacher,2024-05-21,Open,D1117,Fraud,"New Curtis, MN"
C1276,Candidate phone when,2024-02-10,Open,D1181,Cyber Crime,"North Jessica, MN"
C1277,No occur hotel,2024-07-25,Open,D1121,Fraud,"Johnland, PA"
C1278,Same wall measure,2024-01-15,Open,D1139,Homicide,"North Aaronview, TX"
C1279,Present carry,2025-04-06,Closed,D1000,Homicide,"Port Tracyfort, DC"
C1280,Stage the,2023-06-28,Open,D1109,Fraud,"Lake Michael, MD"
C1281,Believe soldier certain edge,2023-03-02,Closed,D1145,Narcotics,"Lake Darrell, UT"
C1282,Son show whatever,2023-05-08,Closed,D1096,Fraud,"Grantton, MA"
C1283,Almost serious Mr,2023-04-20,Closed,D1162,Homicide,"West Brandon, VA"
C1284,Possible account question,2022-08-27,Open,D1081,Homicide,"Lake Vanessa, WI"
C1285,Hard week,2023-01-29,Open,D1187,Robbery,"East Tylershire, OR"
C1286,Expect really amount,2022-08-18,Open,D1086,Fraud,"North Laurenburgh, HI"
C1287,On stand,2024-01-14,Open,D1011,Narcotics,"Lake Amyborough, ND"
C1288,Or which white,2025-02-11,Open,D1178,Cyber Crime,"Michaeltown, MN"
C1289,Thank direction quite,2023-02-09,Closed,D1013,Fraud,"Durantown, ID"
C1290,Including hot child,2024-12-05,Open,D1091,Homicide,"Jamesmouth, WA"
C1291,Education red,2025-01-18,Closed,D1013,Narcotics,"New Aaron, WA"
C1292,You economy,2023-02-06,Closed,D1154,Fraud,"Scottchester, ND"
C1293,Less economy fire,2024-02-14,Closed,D1172,Cyber Crime,"Jenniferfurt, NY"
C1294,Visit message maybe,2022-06-01,Closed,D1105,Robbery,"Nelsonchester, AZ"
C1295,New weight everything,2022-05-29,Open,D1116,Cyber Crime,"North Trevorfurt, MI"
C1296,Model new run,2024-08-26,Open,D1099,Homicide,"Laneshire, AK"
C1297,Decision involve despite,2024-11-24,Closed,D1024,Homicide,"Port Catherine, DC"
C1298,Suffer team word,2024-06-06,Open,D1089,Homicide,"Pattonview, MA"
C1299,Simple guess,2024-07-19,Open,D1103,Fraud,"Phillipside, PA"
C1300,Thus mean,2022-09-22,Open,D1082,Narcotics,"North Sarah, AZ"
C1301,Likely off anything,2022-06-06,Closed,D1121,Homicide,"Hartshire, CO"
C1302,Turn think tree,2023-08-08,Open,D1137,Narcotics,"West Dakotaville, TX"
C1303,Price you,2022-10-13,Closed,D1007,Fraud,"Henrytown, WV"
C1304,Identify degree individual,2024-05-02,Open,D1020,Cyber Crime,"Sherrychester, NM"
C1305,Investment day,2023-12-02,Closed,D1025,Narcotics,"Fullerborough, CA"
C1306,Focus fact special,2022-11-24,Open,D1039,Fraud,"Johnmouth, VT"
C1307,Market best,2023-10-05,Closed,D1009,Homicide,"Danielburgh, TN"
C1308,Evening green,2023-08-30,Closed,D1086,Robbery,"North Nicholasmouth, MA"
C1309,Probably few,2022-04-28,Open,D1041,Robbery,"East Melanie, NJ"
C1310,Require time,2023-05-04,Open,D1163,Robbery,"North Nicholasland, NH"
C1311,Religious around,2024-05-17,Closed,D1006,Narcotics,"East Crystalfurt, CT"
C1312,Office between,2023-07-07,Closed,D1011,Robbery,"Meganfurt, HI"
C1313,Reflect shake phone,2024-07-28,Open,D1162,Cyber Crime,"Greenburgh, GA"
C1314,Pm stage,2022-09-06,Closed,D1043,Robbery,"Emmamouth, TN"
C1315,Might someone young,2022-09-14,Closed,D1057,Robbery,"Lambberg, HI"
C1316,Upon assume,2024-06-09,Closed,D1118,Cyber Crime,"Hamiltonstad, IN"
C1317,Care door natural,2022-10-31,Open,D1098,Fraud,"Daltonshire, NJ"
C1318,Similar adult,2024-06-17,Open,D1041,Fraud,"West James, VT"
C1319,Keep body,2022-10-14,Open,D1175,Narcotics,"Morenohaven, RI"
C1320,Say heart information,2024-09-16,Open,D1038,Homicide,"Jeremymouth, FL"
C1321,Single,2024-07-11,Open,D1082,Fraud,"Draketown, OH"
C1322,Share body,2022-05-25,Open,D1009,Homicide,"Rebeccaborough, CA"
C1323,Son,2025-03-09,Open,D1146,Fraud,"Lake Gregory, MN"
C1324,People worker time,2023-12-11,Open,D1199,Robbery,"South Jennifer, WA"
C1325,Account knowledge action,2023-04-07,Closed,D1006,Narcotics,"Port James, SC"
C1326,Seek third since,2022-11-12,Closed,D1145,Cyber Crime,"Petersonchester, MA"
C1327,Thank kitchen move,2023-06-13,Open,D1035,Cyber Crime,"Lambertfurt, WV"
